id,mass_1_source,mass_2_source,network_matched_filter_snr,luminosity_distance,chi_eff,chirp_mass_source,redshift,far,p_astro,final_mass_source,total_mass_source
GW150914-v3,35.6,30.6,24.4,440,-0.01,28.6,0.09,1.00E-07,1,63.1,
GW151012-v3,23.2,13.6,10,1080,0.05,15.2,0.21,0.00792,1,35.6,
GW151226-v2,13.7,7.7,13.1,450,0.18,8.9,0.09,1.00E-07,1,20.5,
GW170104-v2,30.8,20,13,990,-0.04,21.4,0.2,1.00E-07,1,48.9,
GW170608-v3,11,7.6,14.9,320,0.03,7.9,0.07,1.00E-07,1,17.8,
GW170729-v1,50.2,34,10.2,2840,0.37,35.4,0.49,0.02,0.94,79.5,
GW170809-v1,35,23.8,12.4,1030,0.08,24.9,0.2,1.00E-07,1,56.3,
GW170814-v3,30.6,25.2,15.9,600,0.07,24.1,0.12,1.00E-07,1,53.2,
GW170817-v3,1.46,1.27,33,40,0,1.186,0.01,1.00E-07,1,2.8,
GW170818-v1,35.4,26.7,11.3,1060,-0.09,26.5,0.21,4.20E-05,1,59.4,
GW170823-v1,39.5,29,11.5,1940,0.09,29.2,0.35,1.00E-07,1,65.4,
GW190403_051519-v1,88,22.1,7.9557,8000,0.7,36.3,1.14,7.7,0.60924,105.2,110.5
GW190426_190642-v1,106.9,76.6,9.572,4350,0.19,77.1,0.7,4.1,0.75053,175,184.4
GW190725_174728-v1,11.5,6.4,9.074,1050,-0.04,7.4,0.21,0.46,0.96021,17.4,18.2
GW190805_211137-v1,48.2,32,8.2505,5310,0.35,33.5,0.82,0.63,0.95372,75.8,80.1
GW190916_200658-v1,44.3,23.9,8.208,4460,0.18,27.3,0.71,6900,0.65727,65.7,68.9
GW190917_114630-v1,9.3,2.1,9.4556,720,-0.11,3.7,0.15,0.66,0.76643,11.2,11.4
GW190925_232845-v1,21.2,15.6,9.8838,930,0.11,15.8,0.19,0.0072,0.98849,35.2,37
GW190926_050336-v1,39.8,23.2,9.0049,3780,-0.04,25.6,0.62,1.1,0.54334,60.5,62.9
GW191103_012549-v1,11.8,7.9,8.9,990,0.21,8.34,0.2,0.46,0.94318,19,20
GW191105_143521-v1,10.7,7.7,9.7,1150,-0.02,7.82,0.23,0.012,0.99,17.6,18.5
GW191109_010717-v1,65,47,17.3,1290,-0.29,47.5,0.25,0.00018,0.99,107,112
GW191113_071753-v1,29,5.9,7.9,1370,0,10.7,0.26,26,0.68339,34,34.5
